Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 32, 0, -41, 25.0, 7-194, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -92, 0, 73, 25.0, 7-195, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -148, 0, -89, 25.0, 7-196, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -185, 0, -19, 25.0, 7-197, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -172, 0, 82, 25.0, 7-198, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 3, 0, -51, 25.0, 7-199, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 104, 0, -18, 25.0, 7-200, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -2, 0, -29, 25.0, 7-201, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -164, 0, 105, 25.0, 7-202, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -159, 0, -116, 25.0, 7-203, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 75, 0, 7, 25.0, 7-204, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -134, 0, -145, 25.0, 7-205, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 94, 0, 49, 25.0, 7-206, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -95, 0, 18, 25.0, 7-207, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 94, 0, -125, 25.0, 7-208, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 78, 0, -26, 25.0, 7-209, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 127, 0, 95, 25.0, 7-210, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -142, 0, -39, 25.0, 7-211, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 79, 0, 134, 25.0, 7-212, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -17, 0, -49, 25.0, 7-213, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 101, 0, 62, 25.0, 7-214, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -200, 0, 40, 25.0, 7-215, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -39, 0, 55, 25.0, 7-216, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -85, 0, 69, 25.0, 7-217, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 108, 0, 63, 25.0, 7-218, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -180, 0, -103, 25.0, 7-219, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 26, 0, -86, 25.0, 7-220, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 131, 0, 7, 25.0, 7-221, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 7, 0, -136, 25.0, 7-222, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 137, 0, -92, 25.0, 7-223, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
