Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
59, -1, 0, 66, 25.0, 4-107, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-68, 3
59, 8, 0, 50, 25.0, 4-108, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-68, 3
59, -7, 0, 62, 25.0, 4-68, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
60, -10, 0, 17, 25.0, 4-45, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
60, 9, 0, -207, 25.0, 4-109, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-81, 3
60, -5, 0, -195, 25.0, 4-81, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
61, 46, 0, -2, 25.0, 4-64, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
61, 25, 0, 64, 25.0, 4-110, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-69, 3
61, 30, 0, 83, 25.0, 4-69, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
62, 41, 0, -63, 25.0, 4-73, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
62, -59, 0, 16, 25.0, 4-76, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
63, 58, 0, -153, 25.0, 4-65, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
63, -82, 0, -92, 25.0, 4-6, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
