Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -123, 0, 68, 25.0, 7-146, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 169, 0, -24, 25.0, 7-147, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -184, 0, -112, 25.0, 7-148, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 64, 0, -135, 25.0, 7-149, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -51, 0, -4, 25.0, 7-150, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -203, 0, -122, 25.0, 7-151, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -143, 0, -20, 25.0, 7-152, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -206, 0, -3, 25.0, 7-153, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 108, 0, 22, 25.0, 7-154, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -190, 0, 69, 25.0, 7-155, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -152, 0, -163, 25.0, 7-156, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -50, 0, 101, 25.0, 7-157, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 3, 0, 76, 25.0, 7-158, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -182, 0, -116, 25.0, 7-159, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -89, 0, 140, 25.0, 7-160, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 163, 0, -77, 25.0, 7-161, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 96, 0, -99, 25.0, 7-162, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -3, 0, -124, 25.0, 7-163, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -178, 0, 20, 25.0, 7-164, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -11, 0, 146, 25.0, 7-165, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 83, 0, -6, 25.0, 7-166, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -14, 0, -22, 25.0, 7-167, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 117, 0, -99, 25.0, 7-168, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 45, 0, 29, 25.0, 7-169, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -85, 0, -58, 25.0, 7-170, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -115, 0, -73, 25.0, 7-171, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -200, 0, -108, 25.0, 7-172, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -17, 0, 135, 25.0, 7-173, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -176, 0, -6, 25.0, 7-174, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 55, 0, -17, 25.0, 7-175, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -35, 0, 37, 25.0, 7-176, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -4, 0, 3, 25.0, 7-177, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -151, 0, 70, 25.0, 7-178, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -151, 0, -180, 25.0, 7-179, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -183, 0, 68, 25.0, 7-180, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -198, 0, 9, 25.0, 7-181, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -1, 0, -159, 25.0, 7-182, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -128, 0, 59, 25.0, 7-183, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -208, 8, 22, 24.9, 7-184, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, 87, 0, -158, 25.0, 7-185, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -166, 0, 12, 25.0, 7-186, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -50, 0, 83, 25.0, 7-187, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 67, 0, -195, 25.0, 7-188, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -100, 0, -75, 25.0, 7-189, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -17, 0, -199, 25.0, 7-190, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -118, 0, 53, 25.0, 7-191, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -65, 0, -104, 25.0, 7-192, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 82, 0, -6, 25.0, 7-193, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -96, 0, 147, 25.0, 7-194, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
