Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
147, -18, 0, 0, 25.0, 1-49, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
155, 25, 0, 16, 25.0, 1-44, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
155, 24, 0, 15, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-44, g_bush, Bush, 0-067-358-000, heMenjatPes=39.7 pes=82.7
157, -9, 0, 4, 25.0, 2-40, g_sheep, Sheep, 0-067-354-119, DIED, , , , , STARVE
165, 22, 0, -5, 25.0, 1-46, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
165, 21, 0, -4, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-46, g_bush, Bush, 0-067-358-000, heMenjatPes=84.4 pes=77.5
168, 23, 0, 26, 25.0, 1-50, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
170, 32, 0, -7, 25.0, 1-41, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
170, 31, 0, -6, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-41, g_bush, Bush, 0-067-358-000, heMenjatPes=44.9 pes=82.7
176, 20, 0, -10, 25.0, 1-42, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
176, 21, 0, -9, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-42, g_bush, Bush, 0-067-358-000, heMenjatPes=89.9 pes=77.5
178, 27, 0, 28, 25.0, 1-51, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
179, 15, 0, 20, 25.0, 1-52, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
179, 1, 0, 16, 25.0, 1-53, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
179, 3, 0, 11, 25.0, 1-54, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
179, 1, 0, 20, 25.0, 1-55, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
179, 13, 0, 21, 25.0, 1-56, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
180, 9, 0, 31, 25.0, 1-57, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
180, 22, 0, 38, 25.0, 1-58, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
180, 18, 0, 27, 25.0, 1-59, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
180, 23, 0, 31, 25.0, 1-60, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
182, 41, 0, 24, 25.0, 1-61, g_bush, Bush, 0-037-358-000, BORN, , , , , , 1
182, 32, 0, 14, 25.0, 1-62, g_bush, Bush, 0-037-358-000, BORN, , , , , , 1
182, 58, 0, 33, 25.0, 1-63, g_bush, Bush, 0-037-158-000, BORN, , , , , , 1
182, 37, 0, 31, 25.0, 1-64, g_bush, Bush, 0-037-158-000, BORN, , , , , , 1
182, 36, 0, 34, 25.0, 1-65, g_bush, Bush, 0-037-158-000, BORN, , , , , , 1
182, 40, 0, 40, 25.0, 1-66, g_bush, Bush, 0-037-158-000, BORN, , , , , , 1
182, 49, 0, 30, 25.0, 1-67, g_bush, Bush, 0-037-158-000, BORN, , , , , , 1
182, 13, 0, 5, 25.0, 1-68, g_bush, Bush, 0-037-158-090, BORN, , , , , , 1
182, -3, 0, -33, 25.0, 1-69, g_bush, Bush, 0-037-158-090, BORN, , , , , , 1
182, -12, 0, -1, 25.0, 1-70, g_bush, Bush, 0-037-158-090, BORN, , , , , , 1
182, 34, 0, 1, 25.0, 1-71, g_bush, Bush, 0-037-108-090, BORN, , , , , , 1
182, 26, 0, 12, 25.0, 1-72, g_bush, Bush, 0-037-108-090, BORN, , , , , , 1
182, 6, 0, 6, 25.0, 1-73, g_bush, Bush, 0-037-108-090, BORN, , , , , , 1
182, -5, 0, 8, 25.0, 1-74, g_bush, Bush, 0-037-108-090, BORN, , , , , , 1
182, 46, 0, 6, 25.0, 1-75, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 14, 0, 10, 25.0, 1-76, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 0, 0, -17, 25.0, 1-77, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, -22, 0, -27, 25.0, 1-78, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, -22, 0, -31, 25.0, 1-79, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 49, 0, 17, 25.0, 1-80, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 22, 0, 10, 25.0, 1-81, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 19, 0, 11, 25.0, 1-82, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 49, 0, 23, 25.0, 1-83, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 76, 0, 27, 25.0, 1-84, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 55, 0, 34, 25.0, 1-85, g_bush, Bush, 0-067-108-090, BORN, , , , , , 1
182, 17, 0, 22, 25.0, 1-86, g_bush, Bush, 0-067-108-099, BORN, , , , , , 1
182, 5, 0, 20, 25.0, 1-87, g_bush, Bush, 0-067-108-099, BORN, , , , , , 1
182, -3, 0, 18, 25.0, 1-88, g_bush, Bush, 0-067-108-099, BORN, , , , , , 1
182, -6, 0, 12, 25.0, 1-89, g_bush, Bush, 0-067-108-099, BORN, , , , , , 1
182, 29, 0, 12, 25.0, 1-90, g_bush, Bush, 0-067-108-099, BORN, , , , , , 1
186, 17, 0, -19, 25.0, 1-47, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
186, 17, 0, -18, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-47, g_bush, Bush, 0-067-358-000, heMenjatPes=93.7 pes=77.5
193, 13, 0, 5, 25.0, 1-68, g_bush, Bush, 0-037-158-090, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
193, 13, 0, 5, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-68, g_bush, Bush, 0-037-158-090, heMenjatPes=54.0 pes=82.7
203, 14, 0, 10, 25.0, 1-76, g_bush, Bush, 0-067-108-090, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
203, 14, 0, 10, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-76, g_bush, Bush, 0-067-108-090, heMenjatPes=58.0 pes=82.7
204, -10, 0, -15, 25.0, 1-48, g_bush, Bush, 0-067-358-000, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
208, -3, 0, -33, 25.0, 1-69, g_bush, Bush, 0-037-158-090, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
208, -2, 0, -33, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-69, g_bush, Bush, 0-037-158-090, heMenjatPes=97.5 pes=67.5
210, 19, 0, 11, 25.0, 1-82, g_bush, Bush, 0-067-108-090, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
210, 18, 0, 12, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-82, g_bush, Bush, 0-067-108-090, heMenjatPes=62.1 pes=82.7
211, 1, 0, 20, 25.0, 1-55, g_bush, Bush, 0-067-358-000, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
215, 29, 0, 12, 25.0, 1-90, g_bush, Bush, 0-067-108-099, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
220, 15, 0, 20, 25.0, 1-52, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
220, 15, 0, 20, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-52, g_bush, Bush, 0-067-358-000, heMenjatPes=66.2 pes=82.7
224, -6, 0, 12, 25.0, 1-89, g_bush, Bush, 0-067-108-099, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
224, 13, 0, 21, 25.0, 1-56, g_bush, Bush, 0-067-358-000, DIED, 2-37, g_sheep, Sheep, 0-067-354-119, PREY
224, 14, 0, 20, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, EAT, 1-56, g_bush, Bush, 0-067-358-000, heMenjatPes=70.2 pes=82.7
